pair,strategy,accuracy,transactions,totol,annual,sharp
002366&300011,garch+,0.5294117647058824,"[(0.054955704565222044, '2016-01-22', '2016-01-25', 'l'), (0.058792739021468303, '2016-01-28', '2016-05-10', 'l'), (0.023657188384430389, '2016-05-23', '2016-05-25', 'l'), (0.029750639272734216, '2016-05-26', '2016-06-03', 'l'), (-0.058206200399059785, '2016-06-08', '2016-12-30', 'l')]",0.1088878292895048,0.1238132638338606,0.1566582397785836
002366&300011,history+model,0.5294117647058824,"[(0.054955704565222044, '2016-01-22', '2016-01-25', 'l'), (0.058792739021468303, '2016-01-28', '2016-05-10', 'l'), (-0.058206200399059785, '2016-06-08', '2016-12-30', 'l')]",0.05196431085765796,0.060987052935836505,0.09105690093490698
002366&300011,garch+model,0.5294117647058824,"[(0.054955704565222044, '2016-01-22', '2016-01-25', 'l'), (0.058792739021468303, '2016-01-28', '2016-05-10', 'l'), (0.023657188384430389, '2016-05-23', '2016-05-25', 'l'), (0.029750639272734216, '2016-05-26', '2016-06-03', 'l'), (-0.058206200399059785, '2016-06-08', '2016-12-30', 'l')]",0.1088878292895048,0.1238132638338606,0.1566582397785836
600240&601567,history+,0.5204918032786885,"[(0.0438017545912366, '2016-01-25', '2016-02-01', 'l'), (0.029818387215409057, '2016-02-05', '2016-12-20', 'l')]",0.07492623948576127,0.08388980801319897,0.25152376602539156
600240&601567,garch+,0.5204918032786885,"[(0.018435257897361994, '2016-01-05', '2016-01-11', 'l'), (0.021053194736846623, '2016-01-18', '2016-02-01', 'l'), (0.0021356458903341023, '2016-02-04', '2016-12-30', 'l')]",0.04209738183984135,0.04390155534726312,0.23864469690982162
600240&601567,history+model,0.5204918032786885,"[(0.0438017545912366, '2016-01-25', '2016-02-01', 'l'), (0.029818387215409057, '2016-02-05', '2016-12-20', 'l')]",0.07492623948576127,0.08388980801319897,0.25152376602539156
600240&601567,garch+model,0.5204918032786885,"[(0.018435257897361994, '2016-01-05', '2016-01-11', 'l'), (0.021053194736846623, '2016-01-18', '2016-02-01', 'l'), (0.0021356458903341023, '2016-02-04', '2016-12-30', 'l')]",0.04209738183984135,0.04390155534726312,0.23864469690982162
601555&601688,history+,0.5330578512396694,"[(-0.046464953037215352, '2016-01-28', '2016-12-30', 'l')]",-0.04646495303721532,-0.05032554260707297,-1.4117430250037977
601555&601688,garch+,0.5330578512396694,[],0.0,0.0,
601555&601688,history+model,0.5330578512396694,"[(-0.046464953037215352, '2016-01-28', '2016-12-30', 'l')]",-0.04646495303721532,-0.05032554260707297,-1.4117430250037977
601555&601688,garch+model,0.5330578512396694,[],0.0,0.0,
002516&300180,history+,0.532608695652174,"[(0.05657101279925715, '2016-01-14', '2016-01-27', 'l'), (-0.3900108923763827, '2016-02-25', '2016-12-30', 'l')]",-0.35550319076159964,-0.40297721934156483,-1.1808920472914837
002516&300180,garch+,0.532608695652174,"[(0.01188742677767809, '2016-01-04', '2016-01-05', 'l'), (0.020487557890693977, '2016-01-11', '2016-01-27', 'l'), (0.0015886037168391901, '2016-02-23', '2016-03-01', 'l'), (-0.3175170551682297, '2016-03-07', '2016-12-30', 'l')]",-0.2941359056445577,-0.3334149241001974,-1.1515731627191472
002516&300180,history+model,0.532608695652174,"[(0.05657101279925715, '2016-01-14', '2016-01-27', 'l'), (-0.3900108923763827, '2016-02-25', '2016-12-30', 'l')]",-0.35550319076159964,-0.40297721934156483,-1.1808920472914837
